Order_Id,Order_Date,Order_Date2,Order_Minute,Order_Hour,Data_Center,Language_Name,Supplier_Code,Country_Name,Origin,order_amount,Browser_Name,OS_Name,Device_Type_Name,Platform_Group_Name,No_Of_Product,,,,,,,,,,,
100000014,2020-10-01 02:28:00,2020-10-01,28,2,DC_2,English,Supplier_A,Thailand,PK,772.9,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000015,2020-10-01 02:49:00,2020-10-01,49,2,DC_1,English,Supplier_A,Japan,GB,440.12,Mobile Safari,iOS,Tablet,Website,1,,,,,,,,,,,
100000016,2020-10-01 02:58:00,2020-10-01,58,2,DC_1,Romanian,Supplier_C,Jordan,RO,837.73,Chrome,Windows,Desktop,Website,1,,,,,,,,,,,
100000017,2020-10-01 03:02:00,2020-10-01,2,3,DC_2,English,Supplier_A,Spain,FI,73.87,Chrome,Mac OS X,Desktop,Website,1,,,,,,,,,,,
100000018,2020-10-01 03:06:00,2020-10-01,6,3,DC_1,English,Supplier_A,Costa Rica,NL,65,Mobile Application,iOS,Tablet,Mobile application,1,,,,,,,,,,,
100000019,2020-10-01 03:09:00,2020-10-01,9,3,DC_3,Italian,Supplier_A,Denmark,IT,219.71,Chrome,Windows,Desktop,Website,1,,,,,,,,,,,
100000020,2020-10-01 03:29:00,2020-10-01,29,3,DC_2,English,Supplier_A,Denmark,NO,366.22,Chrome Mobile,Android,Unspecified,Website,1,,,,,,,,,,,
100000021,2020-10-01 03:59:00,2020-10-01,59,3,DC_1,English,Supplier_C,Ireland,CH,591.98,Firefox,Windows 7,Desktop,Website,2,,,,,,,,,,,
100000022,2020-10-01 04:01:00,2020-10-01,1,4,DC_3,Spanish,Supplier_A,Spain,ES,172.02,Chrome,Windows,Desktop,Website,2,,,,,,,,,,,
100000023,2020-10-01 04:04:00,2020-10-01,4,4,DC_2,English,Supplier_A,Turkey,AE,126.72,Chrome,Windows,Desktop,Website,1,,,,,,,,,,,
100000024,2020-10-01 04:22:00,2020-10-01,22,4,DC_1,English / United Kingdom,Supplier_A,Sri Lanka,GB,610,Chrome,Windows,Desktop,Website,1,,,,,,,,,,,
100000025,2020-10-01 04:29:00,2020-10-01,29,4,DC_1,French,Supplier_A,Italy,FR,92.07,Mobile Safari,iOS,Mobile,Website,1,,,,,,,,,,,
100000026,2020-10-01 04:33:00,2020-10-01,33,4,DC_2,Russian,Supplier_A,Czech Republic,CZ,130.96,Chrome,Android,Mobile,Website,1,,,,,,,,,,,
100000027,2020-10-01 05:16:00,2020-10-01,16,5,DC_1,Spanish,Supplier_A,Spain,ES,321.58,Safari,Mac OS X,Desktop,Website,1,,,,,,,,,,,
100000028,2020-10-01 05:32:00,2020-10-01,32,5,DC_3,French,Supplier_C,Thailand,FR,125.44,Firefox,Windows,Desktop,Website,1,,,,,,,,,,,
100000029,2020-10-01 05:51:00,2020-10-01,51,5,DC_2,English,Supplier_A,Kuwait,SA,227.33,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000030,2020-10-01 05:56:00,2020-10-01,56,5,DC_1,Hebrew,Supplier_A,Morocco,MA,862.81,Mobile Safari,iOS,Mobile,Website,3,,,,,,,,,,,
100000031,2020-10-01 06:36:00,2020-10-01,36,6,DC_3,English,Supplier_A,Germany,DE,26.47,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000032,2020-10-01 06:44:00,2020-10-01,44,6,DC_2,English,Supplier_C,Germany,GB,327.96,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000033,2020-10-01 07:45:00,2020-10-01,45,7,DC_1,English,Supplier_C,United Arab Emirates,AE,103.02,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000034,2020-10-01 09:14:00,2020-10-01,14,9,DC_1,English,Supplier_A,Thailand,ET,57.97,Chrome Mobile,Android,Unspecified,Website,1,,,,,,,,,,,
100000035,2020-10-01 11:06:00,2020-10-01,6,11,DC_2,English / India,Supplier_A,India,IN,181.33,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000036,2020-10-01 11:46:00,2020-10-01,46,11,DC_1,English,Supplier_A,Germany,BE,87.84,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000037,2020-10-01 12:35:00,2020-10-01,35,12,DC_3,English,Supplier_A,Bahrain,KW,1968.78,Chrome Mobile iOS,iOS,Tablet,Website,2,,,,,,,,,,,
100000038,2020-10-01 13:08:00,2020-10-01,8,13,DC_2,English,Supplier_A,Austria,AZ,918.61,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000039,2020-10-01 13:31:00,2020-10-01,31,13,DC_1,Greek,Supplier_A,France,GR,2504.92,Safari,Mac OS X,Desktop,Website,2,,,,,,,,,,,
100000040,2020-10-01 13:41:00,2020-10-01,41,13,DC_3,Finnish,Supplier_A,Spain,EE,265.57,Chrome,Windows,Desktop,Website,1,,,,,,,,,,,
100000041,2020-10-01 13:42:00,2020-10-01,42,13,DC_2,English,Supplier_A,Thailand,GB,1156.33,Safari,Mac OS X,Desktop,Website,1,,,,,,,,,,,
100000042,2020-10-01 13:47:00,2020-10-01,47,13,DC_1,English,Supplier_C,South Africa,ZA,226.6,IE,Windows 8,Desktop,Website,1,,,,,,,,,,,
100000043,2020-10-01 14:01:00,2020-10-01,1,14,DC_1,Finnish,Supplier_A,Spain,EE,248.45,Chrome,Windows,Desktop,Website,1,,,,,,,,,,,
100000044,2020-10-01 14:28:00,2020-10-01,28,14,DC_2,English,Supplier_A,Sri Lanka,TR,110,Mobile Safari,iOS,Tablet,Website,1,,,,,,,,,,,
100000045,2020-10-01 14:33:00,2020-10-01,33,14,DC_1,English,Supplier_C,South Africa,ZA,1945.06,Firefox,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000046,2020-10-01 15:08:00,2020-10-01,8,15,DC_3,Spanish,Supplier_A,France,ES,378.59,Safari,Mac OS X,Desktop,Website,1,,,,,,,,,,,
100000047,2020-10-01 15:09:00,2020-10-01,9,15,DC_2,English,Supplier_A,Sweden,GB,117.12,Mobile Application,iOS,Tablet,Mobile application,1,,,,,,,,,,,
100000048,2020-10-01 15:32:00,2020-10-01,32,15,DC_1,Italian,Supplier_C,Italy,IT,1654.18,Safari,Mac OS X,Desktop,Website,2,,,,,,,,,,,
100000049,2020-10-01 15:40:00,2020-10-01,40,15,DC_3,Finnish,Supplier_A,Estonia,FI,72.07,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000050,2020-10-01 15:42:00,2020-10-01,42,15,DC_2,English,Supplier_A,Belgium,PT,79.3,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000051,2020-10-01 16:18:00,2020-10-01,18,16,DC_1,English,Supplier_A,United Kingdom,GB,125.75,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000052,2020-10-01 16:33:00,2020-10-01,33,16,DC_1,English,Supplier_A,Costa Rica,NL,28,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000053,2020-10-01 16:34:00,2020-10-01,34,16,DC_2,English,Supplier_A,Thailand,GB,420.48,Chrome,Windows 7,Desktop,Website,2,,,,,,,,,,,
100000054,2020-10-01 17:10:00,2020-10-01,10,17,DC_1,English,Supplier_A,Belgium,NL,185.32,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000055,2020-10-01 17:25:00,2020-10-01,25,17,DC_3,Russian,Supplier_A,Mongolia,RU,350,IE,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000056,2020-10-01 17:26:00,2020-10-01,26,17,DC_2,English,Supplier_A,Turkey,TZ,239.55,Firefox,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000057,2020-10-01 17:31:00,2020-10-01,31,17,DC_1,English,Supplier_A,United Arab Emirates,OM,317.86,Mobile Safari,iOS,Tablet,Website,2,,,,,,,,,,,
100000058,2020-10-01 17:46:00,2020-10-01,46,17,DC_3,English,Supplier_A,Portugal,PT,145.81,Mobile Safari,iOS,Tablet,Website,1,,,,,,,,,,,
100000059,2020-10-01 17:52:00,2020-10-01,52,17,DC_2,Russian,Supplier_A,Peru,RU,35,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000060,2020-10-01 18:08:00,2020-10-01,8,18,DC_1,Korean,Supplier_A,Poland,ES,166.03,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000061,2020-10-01 18:12:00,2020-10-01,12,18,DC_1,Russian,Supplier_A,United States,RU,59,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000062,2020-10-01 18:15:00,2020-10-01,15,18,DC_2,German,Supplier_A,Netherlands,DE,132.9,Mobile Application,iOS,Mobile,Mobile application,2,,,,,,,,,,,
100000063,2020-10-01 18:39:00,2020-10-01,39,18,DC_1,English / South-Africa,Supplier_A,Namibia,ZA,49.61,Chrome,Windows,Desktop,Website,1,,,,,,,,,,,
100000064,2020-10-01 18:43:00,2020-10-01,43,18,DC_3,English,Supplier_A,Iceland,IS,130.84,Mobile Application,iOS,Tablet,Mobile application,1,,,,,,,,,,,
100000065,2020-10-01 18:56:00,2020-10-01,56,18,DC_2,T.Chinese / Hongkong,Supplier_A,Finland,FI,312.65,Mobile Safari,iOS,Mobile,Website,1,,,,,,,,,,,
100000066,2020-10-01 18:57:00,2020-10-01,57,18,DC_1,English,Supplier_A,South Africa,ZA,475.4,IE,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000067,2020-10-01 18:59:00,2020-10-01,59,18,DC_3,French,Supplier_C,France,FR,189.6,Firefox,Windows XP,Desktop,Website,1,,,,,,,,,,,
100000068,2020-10-01 19:10:00,2020-10-01,10,19,DC_2,Korean,Supplier_A,China,RU,34.85,Mobile Application,Android,Mobile,Mobile application,1,,,,,,,,,,,
100000069,2020-10-01 19:36:00,2020-10-01,36,19,DC_1,Latvian,Supplier_A,Latvia,LV,67.48,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000070,2020-10-01 19:38:00,2020-10-01,38,19,DC_1,English,Supplier_A,Czech Republic,CZ,86.48,Other,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000071,2020-10-01 19:38:00,2020-10-01,38,19,DC_2,English,Supplier_C,Germany,QA,670.35,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000072,2020-10-01 19:39:00,2020-10-01,39,19,DC_1,English,Supplier_A,Russia,PL,93.93,Firefox,Windows,Desktop,Website,1,,,,,,,,,,,
100000073,2020-10-01 19:39:00,2020-10-01,39,19,DC_3,English,Supplier_C,Qatar,QA,658.32,Mobile Application,iOS,Tablet,Mobile application,1,,,,,,,,,,,
100000074,2020-10-01 19:53:00,2020-10-01,53,19,DC_2,Italian,Supplier_C,Thailand,IT,100.2,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000075,2020-10-01 20:04:00,2020-10-01,4,20,DC_1,English,Supplier_A,Iceland,IS,81.13,Chrome Mobile iOS,iOS,Tablet,Website,1,,,,,,,,,,,
100000076,2020-10-01 20:12:00,2020-10-01,12,20,DC_3,English / United Kingdom,Supplier_A,South Africa,GB,219.52,IE,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000077,2020-10-01 20:13:00,2020-10-01,13,20,DC_2,English,Supplier_C,United Arab Emirates,GB,127.99,Firefox,Windows,Desktop,Website,1,,,,,,,,,,,
100000078,2020-10-01 20:32:00,2020-10-01,32,20,DC_1,English,Supplier_A,Italy,GB,540.55,Chrome,Mac OS X,Desktop,Website,1,,,,,,,,,,,
100000079,2020-10-01 20:50:00,2020-10-01,50,20,DC_1,Italian,Supplier_A,Italy,IT,243.74,IE,Windows XP,Desktop,Website,1,,,,,,,,,,,
100000080,2020-10-01 20:56:00,2020-10-01,56,20,DC_2,Russian,Supplier_A,Kazakhstan,RU,69.94,Firefox,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000081,2020-10-01 21:15:00,2020-10-01,15,21,DC_1,French,Supplier_A,Thailand,FR,429.92,Chrome,Android,Others,Website,2,,,,,,,,,,,
100000082,2020-10-01 21:35:00,2020-10-01,35,21,DC_3,English / United Kingdom,Supplier_A,United Kingdom,GB,234.81,IE,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000083,2020-10-01 21:37:00,2020-10-01,37,21,DC_2,German,Supplier_A,Germany,EU,138.9,Firefox,Windows 7,Desktop,Website,2,,,,,,,,,,,
100000084,2020-10-01 21:47:00,2020-10-01,47,21,DC_1,English,Supplier_A,United States,SA,388,Mobile Application,Android,Unspecified,Mobile application,1,,,,,,,,,,,
100000085,2020-10-01 21:48:00,2020-10-01,48,21,DC_3,English,Supplier_A,United States,EE,166,Safari,Mac OS X,Desktop,Website,1,,,,,,,,,,,
100000086,2020-10-01 21:52:00,2020-10-01,52,21,DC_2,English,Supplier_A,Ireland,GB,130.99,Firefox,Mac OS X,Desktop,Website,1,,,,,,,,,,,
100000087,2020-10-01 22:21:00,2020-10-01,21,22,DC_1,English,Supplier_A,Spain,0,269.81,IE,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000088,2020-10-01 22:22:00,2020-10-01,22,22,DC_1,English,Supplier_A,Greece,TR,23.24,Firefox,Mac OS X,Desktop,Website,1,,,,,,,,,,,
100000089,2020-10-01 22:27:00,2020-10-01,27,22,DC_2,Arabic,Supplier_C,Sri Lanka,SA,306.24,Mobile Application,iOS,Mobile,Mobile application,2,,,,,,,,,,,
100000090,2020-10-01 22:29:00,2020-10-01,29,22,DC_1,French,Supplier_A,Spain,FR,256.39,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000091,2020-10-01 22:34:00,2020-10-01,34,22,DC_3,English,Supplier_A,Netherlands,GB,59.3,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000092,2020-10-01 22:36:00,2020-10-01,36,22,DC_2,German,Supplier_A,Germany,DE,183.07,Chrome,Windows,Desktop,Website,1,,,,,,,,,,,
100000093,2020-10-01 22:47:00,2020-10-01,47,22,DC_1,English,Supplier_A,Belgium,DE,126.72,Mobile Safari,iOS,Tablet,Website,1,,,,,,,,,,,
100000094,2020-10-01 22:48:00,2020-10-01,48,22,DC_3,Danish,Supplier_A,Turkey,DK,450.64,Mobile Application,iOS,Tablet,Mobile application,2,,,,,,,,,,,
100000095,2020-10-01 22:49:00,2020-10-01,49,22,DC_2,English,Supplier_A,Denmark,DK,235.19,Firefox,Mac OS X,Desktop,Website,1,,,,,,,,,,,
100000096,2020-10-01 23:04:00,2020-10-01,4,23,DC_1,Hungarian,Supplier_A,Hungary,HU,117.31,IE,Windows 7,Desktop,Website,3,,,,,,,,,,,
100000097,2020-10-01 23:23:00,2020-10-01,23,23,DC_1,Dutch,Supplier_A,Greece,MK,36.95,Chrome Mobile,Android,Mobile,Website,1,,,,,,,,,,,
100000098,2020-10-01 23:47:00,2020-10-01,47,23,DC_2,English,Supplier_A,Luxembourg,DE,127.37,Firefox,Windows Vista,Desktop,Website,1,,,,,,,,,,,
100000099,2020-10-01 23:50:00,2020-10-01,50,23,DC_1,Arabic,Supplier_A,Austria,AT,343.05,IE,Windows XP,Desktop,Website,1,,,,,,,,,,,
100000100,2020-10-01 23:51:00,2020-10-01,51,23,DC_3,Finnish,Supplier_A,Belarus,FI,104,IE,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000101,2020-10-02 00:45:00,2020-10-02,45,0,DC_2,German,Supplier_A,Austria,DE,185.20,Mobile Application,Android,Mobile,Mobile application,2,,,,,,,,,,,
100000102,2020-10-02 00:55:00,2020-10-02,55,0,DC_1,German,Supplier_A,United States,DE,98,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000103,2020-10-02 01:01:00,2020-10-02,1,1,DC_3,English,Supplier_A,Austria,DE,113.27,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000104,2020-10-02 01:29:00,2020-10-02,29,1,DC_2,Finnish,Supplier_A,Finland,FI,183.26,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000105,2020-10-02 01:29:00,2020-10-02,29,1,DC_1,English,Supplier_A,Kosovo,MK,27.83,Android,Android,Mobile,Website,1,,,,,,,,,,,
100000106,2020-10-02 01:43:00,2020-10-02,43,1,DC_1,English,Supplier_A,Greece,NL,235.59,Safari,Mac OS X,Desktop,Website,1,,,,,,,,,,,
100000107,2020-10-02 01:45:00,2020-10-02,45,1,DC_2,English / United Kingdom,Supplier_A,United Kingdom,GB,141.66,Safari,Mac OS X,Desktop,Website,1,,,,,,,,,,,
100000108,2020-10-02 01:49:00,2020-10-02,49,1,DC_1,Danish,Supplier_A,Greece,DK,48.41,Mobile Application,Android,Unspecified,Mobile application,1,,,,,,,,,,,
100000109,2020-10-02 01:56:00,2020-10-02,56,1,DC_3,French,Supplier_A,China,TN,2376.88,Chrome,Windows Vista,Desktop,Website,4,,,,,,,,,,,
100000110,2020-10-02 01:57:00,2020-10-02,57,1,DC_2,English / United Kingdom,Supplier_A,Ireland,GB,67.6,IE,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000111,2020-10-02 01:57:00,2020-10-02,57,1,DC_1,French,Supplier_A,Albania,FR,29,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000112,2020-10-02 02:05:00,2020-10-02,5,2,DC_3,Polish,Supplier_A,Poland,PL,192.23,Firefox,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000113,2020-10-02 02:11:00,2020-10-02,11,2,DC_2,English,Supplier_A,Denmark,GB,64.74,Firefox,Windows,Desktop,Website,1,,,,,,,,,,,
100000114,2020-10-02 02:12:00,2020-10-02,12,2,DC_1,English,Supplier_C,France,IT,167.28,Chrome,Mac OS X,Desktop,Website,1,,,,,,,,,,,
100000115,2020-10-02 02:13:00,2020-10-02,13,2,DC_1,English,Supplier_A,Turkey,TR,11.96,Mobile Application,Android,Mobile,Mobile application,1,,,,,,,,,,,
100000116,2020-10-02 02:22:00,2020-10-02,22,2,DC_2,English,Supplier_A,Malaysia,GB,2087.94,Chrome,Windows,Desktop,Website,3,,,,,,,,,,,
100000117,2020-10-02 02:34:00,2020-10-02,34,2,DC_1,English,Supplier_A,Georgia,CY,1674.12,Chrome,Windows,Desktop,Website,1,,,,,,,,,,,
100000118,2020-10-02 02:58:00,2020-10-02,58,2,DC_3,Spanish,Supplier_A,Nicaragua,ES,68.1,Chrome Mobile,Android,Unspecified,Website,1,,,,,,,,,,,
100000119,2020-10-02 03:07:00,2020-10-02,7,3,DC_2,English,Supplier_C,Bahrain,BH,83.01,Mobile Application,Android,Unspecified,Mobile application,1,,,,,,,,,,,
100000120,2020-10-02 03:15:00,2020-10-02,15,3,DC_1,English / United Kingdom,Supplier_A,Spain,GB,49.16,IE,Windows,Desktop,Website,1,,,,,,,,,,,
100000121,2020-10-02 03:22:00,2020-10-02,22,3,DC_3,English,Supplier_A,France,FR,166.07,Chrome,Windows,Desktop,Website,1,,,,,,,,,,,
100000122,2020-10-02 03:23:00,2020-10-02,23,3,DC_2,English,Supplier_A,Kuwait,SA,472.96,Mobile Safari,iOS,Tablet,Website,1,,,,,,,,,,,
100000123,2020-10-02 03:57:00,2020-10-02,57,3,DC_1,S.Chinese / Mainland,Supplier_A,Italy,IT,138.79,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000124,2020-10-02 04:01:00,2020-10-02,1,4,DC_1,Italian,Supplier_A,Netherlands,IT,130.07,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000125,2020-10-02 04:02:00,2020-10-02,2,4,DC_2,English / United Kingdom,Supplier_A,Netherlands,NL,204.59,Firefox,Windows,Desktop,Website,1,,,,,,,,,,,
100000126,2020-10-02 04:06:00,2020-10-02,6,4,DC_1,T.Chinese / Hongkong,Supplier_A,Germany,FR,204.36,Mobile Application,Android,Mobile,Mobile application,2,,,,,,,,,,,
100000127,2020-10-02 04:19:00,2020-10-02,19,4,DC_3,Hungarian,Supplier_A,Hungary,HU,57.76,Safari,Mac OS X,Desktop,Website,1,,,,,,,,,,,
100000128,2020-10-02 04:26:00,2020-10-02,26,4,DC_2,English,Supplier_C,United Arab Emirates,SA,229.62,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000129,2020-10-02 04:27:00,2020-10-02,27,4,DC_1,English,Supplier_A,United States,ZA,711,Mobile Safari,iOS,Mobile,Website,1,,,,,,,,,,,
100000130,2020-10-02 04:33:00,2020-10-02,33,4,DC_3,English / United Kingdom,Supplier_A,United Kingdom,GB,85.32,Mobile Safari,iOS,Tablet,Website,1,,,,,,,,,,,
100000131,2020-10-02 05:01:00,2020-10-02,1,5,DC_2,French,Supplier_A,United Kingdom,FR,783.64,Chrome,Windows 7,Desktop,Website,2,,,,,,,,,,,
100000132,2020-10-02 05:13:00,2020-10-02,13,5,DC_1,English,Supplier_A,Canada,FR,162.55,IE,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000133,2020-10-02 05:24:00,2020-10-02,24,5,DC_1,English,Supplier_A,Denmark,NO,178.61,Mobile Safari,iOS,Tablet,Website,1,,,,,,,,,,,
100000134,2020-10-02 05:44:00,2020-10-02,44,5,DC_2,English / United Kingdom,Supplier_A,United Arab Emirates,AE,1421.97,Chrome Mobile,Android,Unspecified,Website,1,,,,,,,,,,,
100000135,2020-10-02 05:55:00,2020-10-02,55,5,DC_1,English,Supplier_A,France,AT,61.47,Chrome,Windows,Desktop,Website,1,,,,,,,,,,,
100000136,2020-10-02 05:55:00,2020-10-02,55,5,DC_3,French,Supplier_A,France,FR,316.35,Firefox,Ubuntu,Desktop,Website,1,,,,,,,,,,,
100000137,2020-10-02 06:03:00,2020-10-02,3,6,DC_2,English,Supplier_A,Poland,BE,69.17,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000138,2020-10-02 07:26:00,2020-10-02,26,7,DC_1,English,Supplier_A,Paraguay,GF,77,Chrome Mobile,Android,Desktop,Website,1,,,,,,,,,,,
100000139,2020-10-02 12:37:00,2020-10-02,37,12,DC_3,S.Chinese / Mainland,Supplier_C,United Kingdom,GB,3172.16,Chrome Mobile,Android,Desktop,Website,1,,,,,,,,,,,
100000140,2020-10-02 13:32:00,2020-10-02,32,13,DC_2,English,Supplier_A,Italy,IT,155.07,Safari,Mac OS X,Desktop,Website,1,,,,,,,,,,,
100000141,2020-10-02 13:34:00,2020-10-02,34,13,DC_1,English,Supplier_A,Bulgaria,BG,134.54,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000142,2020-10-02 13:42:00,2020-10-02,42,13,DC_1,English / Australia,Supplier_A,United Kingdom,GB,152.49,Mobile Safari,iOS,Mobile,Website,1,,,,,,,,,,,
100000143,2020-10-02 13:44:00,2020-10-02,44,13,DC_2,English,Supplier_A,Qatar,AE,51.43,WebKit Nightly,Other,Desktop,Website,1,,,,,,,,,,,
100000144,2020-10-02 13:47:00,2020-10-02,47,13,DC_1,French,Supplier_A,Italy,IT,205.59,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000145,2020-10-02 13:56:00,2020-10-02,56,13,DC_3,Finnish,Supplier_A,Turkey,FI,303.91,Firefox,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000146,2020-10-02 14:18:00,2020-10-02,18,14,DC_2,Korean,Supplier_A,Austria,HR,92.97,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000147,2020-10-02 14:22:00,2020-10-02,22,14,DC_1,German,Supplier_A,Germany,DE,88.4,Safari,Mac OS X,Desktop,Website,1,,,,,,,,,,,
100000148,2020-10-02 14:26:00,2020-10-02,26,14,DC_3,German,Supplier_A,Estonia,DE,125.47,IE,Windows 8,Desktop,Website,1,,,,,,,,,,,
100000149,2020-10-02 14:32:00,2020-10-02,32,14,DC_2,Russian,Supplier_A,Hong Kong,RU,285.71,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000150,2020-10-02 15:18:00,2020-10-02,18,15,DC_1,English,Supplier_A,Greece,GR,94.24,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000151,2020-10-02 15:19:00,2020-10-02,19,15,DC_1,English / United Kingdom,Supplier_A,United Kingdom,GB,853.36,Other,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000152,2020-10-02 15:30:00,2020-10-02,30,15,DC_2,English,Supplier_A,Lithuania,SE,166.39,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000153,2020-10-02 16:19:00,2020-10-02,19,16,DC_1,English / United Kingdom,Supplier_A,United Kingdom,GB,434.76,Chrome,Windows 7,Desktop,Website,3,,,,,,,,,,,
100000154,2020-10-02 16:33:00,2020-10-02,33,16,DC_3,Korean,Supplier_A,Croatia,HU,89.64,Chrome Mobile,Android,Mobile,Website,2,,,,,,,,,,,
100000155,2020-10-02 16:34:00,2020-10-02,34,16,DC_2,English / South-Africa,Supplier_A,South Africa,ZA,245.1,Chrome,Windows XP,Desktop,Website,2,,,,,,,,,,,
100000156,2020-10-02 16:43:00,2020-10-02,43,16,DC_1,German,Supplier_A,Germany,CH,281.87,Firefox,Mac OS X,Desktop,Website,1,,,,,,,,,,,
